Region,Model,Metric,PointEstimate,CI_lower,CI_upper,n_valid_boot
Southeast Asia,XGBoost (baseline),F1,0.6666666666666666,0.509062049062049,0.8,2000
Southeast Asia,XGBoost (baseline),ROC-AUC,0.78125,0.6588407923697726,0.8792366071428571,2000
Southeast Asia,XGBoost (baseline),PR-AUC,0.7677614256165421,0.6178670195285498,0.8870087100198737,2000
Southeast Asia,TabNet (baseline),Accuracy,0.7631578947368421,0.6710526315789473,0.8552631578947368,2000
Southeast Asia,TabNet (baseline),Precision,0.75,0.5769230769230769,0.896551724137931,2000
Southeast Asia,TabNet (baseline),Recall,0.65625,0.48148148148148145,0.8181818181818182,2000
Southeast Asia,TabNet (baseline),F1,0.7,0.5489304812834225,0.8196931483816728,2000
Southeast Asia,TabNet (baseline),ROC-AUC,0.7798295454545454,0.6591064769636197,0.8856576107357357,2000
Southeast Asia,TabNet (baseline),PR-AUC,0.7661149886503882,0.6235532513955507,0.8854877146841493,2000
Southeast Asia,Proposed SFTNN,Accuracy,0.6842105263157895,0.5789473684210527,0.7894736842105263,2000
Southeast Asia,Proposed SFTNN,Precision,0.625,0.4482758620689655,0.7931034482758621,2000
Southeast Asia,Proposed SFTNN,Recall,0.625,0.4570779220779221,0.7931034482758621,2000
Southeast Asia,Proposed SFTNN,F1,0.625,0.47761194029850745,0.7500811688311684,2000
Southeast Asia,Proposed SFTNN,ROC-AUC,0.7393465909090909,0.6115910861773415,0.845679024327122,2000
Southeast Asia,Proposed SFTNN,PR-AUC,0.725951737984946,0.5670773636644852,0.8524271829165797,2000
