Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Invest-mentType,Amount (in USD),Year,Source_File
84.0,23/02/2016,CupoNation,Consumer Internet,Deals and Discount platform,Gurgaon,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,"11,000,000",2016,Feb_2016.csv
85.0,23/02/2016,Aarav UAV,Technology,unmanned aerial vehicles creator,Kanpur,"StartupXseed Ventures, The Phoenix Fund and others",Seed Funding,,2016,Feb_2016.csv
86.0,24/02/2016,Sayfix,Consumer Internet,Hyperlocal Home Services Provider,Bangalore,Yajnanarayana Kammaje,Seed Funding,"160,000",2016,Feb_2016.csv
87.0,24/02/2016,LoanZen,Consumer Internet,Peer to peer Lending marketplace,Bangalore,Tracxn Syndicate,Seed Funding,,2016,Feb_2016.csv
88.0,24/02/2016,NoBroker,Consumer Internet,Peer to peer property listing platform,Bangalore,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners",Private Equity,"10,000,000",2016,Feb_2016.csv
89.0,24/02/2016,AppilyEver,Consumer Internet,Online wedding services marketplace,Hyderabad,"Varun Aggarwal, Suresh Venkat, Raj Y",Seed Funding,"400,000",2016,Feb_2016.csv
90.0,24/02/2016,Pocketin,Consumer Internet,Hotel reservations & Deal platform,Noida,Swastika Company Ltd,Seed Funding,"150,000",2016,Feb_2016.csv
91.0,24/02/2016,FeetApart,Consumer Internet,Employee engagements & Rewards platform,Bangalore,Vishal Bali & Others,Seed Funding,,2016,Feb_2016.csv
92.0,25/02/2016,OfBusiness,eCommerce,B2B commerce Marketplace,Gurgaon,Matrix Partners India,Private Equity,"5,000,000",2016,Feb_2016.csv
93.0,25/02/2016,CarveNiche,Consumer Internet,Personalized Learning Solutions & products,Bangalore,"Calcutta Angels, Lead Angels & Others",Seed Funding,,2016,Feb_2016.csv
94.0,25/02/2016,Juspay,Consumer Internet,Digital Payments solutions,Bangalore,"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",Private Equity,"5,800,000",2016,Feb_2016.csv
95.0,25/02/2016,Funcart,eCommerce,Party Supplies Etailer,New Delhi,Undisclosed HNIs,Seed Funding,"70,000",2016,Feb_2016.csv
96.0,26/02/2016,Freedom Smart Labs,Technology,IoT retail solutions,New Delhi,Kapil Goel,Seed Funding,"145,000",2016,Feb_2016.csv
97.0,26/02/2016,EduBridge,Consumer Internet,Skill development and vocational training platform,Mumbai,"Insitor Impact Asia Fund, Acumen Fund",Private Equity,"2,500,000",2016,Feb_2016.csv
98.0,29/02/2016,Nestaway,Consumer Internet,Online Home Rental Marketplace,Bangalore,Ratan Tata,Private Equity,,2016,Feb_2016.csv
99.0,29/02/2016,Hopscotch,eCommerce,Baby & Kids Products Online Flash sales platform,Mumbai,Eduardo Saverin,Private Equity,"13,000,000",2016,Feb_2016.csv
100.0,29/02/2016,PinClick,Consumer Internet,Online real estate listings,Bangalore,Undisclosed investors,Private Equity,,2016,Feb_2016.csv
101.0,,,,,,,,,2016,Feb_2016.csv
1.0,01/1/2016,Smartcooky,ECommerce,Health Food / Personal Care Marketplace,New Delhi,"Rajan Anandan, Pramod Bhasin, Siddharth Pai, TV Mohandas Pai, Manvinder Singh Banga",Seed Funding,,2016,Jan_2016.csv
2.0,01/1/2016,Helpi,Consumer Internet,On Demand Cleaning Services Mobile App,Mumbai,Undisclosed Investors,Seed Funding,,2016,Jan_2016.csv
3.0,04/1/2016,DogSpot,ECommerce,Online Pet Store,Gurgaon,Ratan Tata,Seed Funding,,2016,Jan_2016.csv
4.0,04/1/2016,Career360,Education,College Education Portal,New Delhi,MeritTrac,Private Equity,,2016,Jan_2016.csv
5.0,04/1/2016,B9 Beverages,Food & Beverage,Craft Beer manufacturing company,New Delhi,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",Private Equity,"6,000,000",2016,Jan_2016.csv
6.0,05/1/2016,WIMWI Foods,Food & Beverage,Healthy food manufacturing & sales startup,Ahmedabad,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,,2016,Jan_2016.csv
7.0,05/1/2016,MyChild App,Education,Child Disorder Information & Education,Bhopal,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",Seed Funding,"100,000",2016,Jan_2016.csv
8.0,05/1/2016,Instaproc,ECommerce,B2B Procurement Marketplace for Office Products,Noida,Dinesh Agarwal,Seed Funding,,2016,Jan_2016.csv
9.0,05/1/2016,360Ride,Consumer Internet,Ride Sharing platform,Bangalore,Undisclosed,Seed Funding,"150,000",2016,Jan_2016.csv
10.0,05/1/2016,AlefMobitech,Consumer Internet,Cloud Mobility Solutions,Mumbai,Tata Capital Innovation Fund,Private Equity,"5,000,000",2016,Jan_2016.csv
11.0,06/01/2016,Tracxn,BFSI,Startup Funding Deal Discovery & Execution platform,Bangalore,Ratan Tata,Seed Funding,,2016,Jan_2016.csv
12.0,06/01/2016,Qdesq,Real Estate,Branded Workspaces Aggregator,Gurgaon,"Dheeraj Jain, Jagdish Kumar, Bharat Gupta, Ankush Saigal, Praveen Saini",Seed Funding,,2016,Jan_2016.csv
13.0,06/01/2016,Sensara,Technology,"TV Search, Guide and Remote mobile app",Bangalore,"Lalitesh Katragadda,  Ganayantrika Systems",Seed Funding,"750,000",2016,Jan_2016.csv
14.0,06/01/2016,Zebpay,Consumer Internet,Bitcoin Buying & Selling Mobile App,Ahmedabad,"Arjun Handa, Amit Jindal, Nagendra Chaudhary",Private Equity,"1,000,000",2016,Jan_2016.csv
15.0,06/01/2016,PlanMyMedicalTrip,Healthcare,Medical Tourism platform,Pune,"Bhanu Vikram Parsotam, Rohan Desai and Paras Patel",Seed Funding,"150,000",2016,Jan_2016.csv
16.0,06/01/2016,MyCity4Kids,Education,Children Education & Information platform,Gurgaon,"SIDBI Venture Capital Limited, YourNest Angel Fund",Private Equity,"3,000,000",2016,Jan_2016.csv
17.0,06/01/2016,Justdakhila.com,Education,School Student admissions platform,New Delhi,Ankur Gupta,Seed Funding,"750,000",2016,Jan_2016.csv
18.0,07/01/2016,PitStop,Consumer Internet,Automobile Service Booking App,Bangalore,Myntra/LivSpace Founders,Seed Funding,,2016,Jan_2016.csv
19.0,07/01/2016,Bikxie,Consumer Internet,Two Wheeler Taxi Service,Gurgaon,Undisclosed Investors,Seed Funding,,2016,Jan_2016.csv
20.0,07/01/2016,Infurnia,Consumer Internet,Online Furniture Customization platform,Bangalore,Idein Ventures,Seed Funding,"160,000",2016,Jan_2016.csv
21.0,07/01/2016,Myly,Education,Mobile Based Education platform,Jaipur,Newbie Promoter Pvt Ltd,Seed Funding,"100,000",2016,Jan_2016.csv
22.0,07/01/2016,MakeMyTrip,Consumer Internet,Online Travel/Hotel Booking platform,Gurgaon,Ctrip.com International Ltd,Private Equity,"180,000,000",2016,Jan_2016.csv
23.0,08/01/2016,Melorra,ECommerce,Online/ Mobile Jewellery Retailer,Bangalore,Lightbox Ventures,Private Equity,"5,000,000",2016,Jan_2016.csv
24.0,08/01/2016,ConfirmTKT,Consumer Internet,Train PNR Status Prediction Platform,Bangalore,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,"250,000",2016,Jan_2016.csv
25.0,08/01/2016,Gyaanzone,Education,Career Planning and Education Advisory Platform,Mumbai,GBIM Technologies Pvt Ltd,Seed Funding,"45,000",2016,Jan_2016.csv
26.0,08/01/2016,FlatFurnish,Consumer Internet,Online Furnishing Rental Platform,Gurgaon,Arun Chandra Mohan,Seed Funding,,2016,Jan_2016.csv
27.0,09/01/2016,Lumiere,ECommerce,Organic Food eTailer,Bangalore,Undisclosed investors,Private Equity,,2016,Jan_2016.csv
28.0,11/01/2016,Koovs,ECommerce,Online Fashion Apparel Retailer,Gurgaon,"Nahata Family, Waheed Alli",Private Equity,"5,400,000",2016,Jan_2016.csv
29.0,11/01/2016,Wishup,Consumer Internet,Mobile app based Concierge Service,New Delhi,"500 Startups, Mato Peric, TracxnLabs",Seed Funding,,2016,Jan_2016.csv
30.0,11/01/2016,FreshMenu,Consumer Internet,Online / Mobile Food Ordering platform,Bangalore,"Zodius Capital, Lightspeed Venture Partners",Private Equity,"16,500,000",2016,Jan_2016.csv
31.0,11/01/2016,SavvyMob,ECommerce,Last Minute Hotel Bookings mobile marketplace,Bangalore,"TV Mohandas Pai, LetsVenture",Seed Funding,"1,000,000",2016,Jan_2016.csv
32.0,11/01/2016,Fashionablyin,Consumer Internet,Mobile based Geo-target Fashion Marketplace,Mumbai,Ranjan Mahtani,Seed Funding,,2016,Jan_2016.csv
33.0,12/01/2016,Shopclues,ECommerce,ECommerce Marketplace,Gurgaon,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,"100,000,000",2016,Jan_2016.csv
34.0,12/01/2016,Hike Messenger,Consumer Internet,P2P Messaging Service,New Delhi,"Matt Mullenweg, Adam D’Angelo, Aditya Agarwal,  Ruchi Sanghvi & Others",Private Equity,,2016,Jan_2016.csv
35.0,12/01/2016,iBus Networks,Technology,Next Generation in-building connectivity,Bangalore,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,"2,300,000",2016,Jan_2016.csv
36.0,12/01/2016,Happy2Refer,Consumer Internet,Mobile based Referral Platform,Mumbai,"Equity Crest, Vinners, Sparknext",Seed Funding,"250,000",2016,Jan_2016.csv
37.0,13/01/2016,CarTrade,Consumer Internet,Auto Classifieds Portal,Mumbai,"Temasek Holdings, March Capital, Warburg Pincus",Private Equity,"145,000,000",2016,Jan_2016.csv
38.0,13/01/2016,Rentomo,Consumer Internet,peer-to-peer renting Marketplace,Bangalore,Shiva Ashok & Other unnamed investors,Seed Funding,"100,000",2016,Jan_2016.csv
39.0,13/01/2016,Roder,Consumer Internet,inter-city cab aggregator,New Delhi,Unicorn India Ventures,Seed Funding,"240,000",2016,Jan_2016.csv
40.0,13/01/2016,Bucker,Consumer Internet,Food Ordering Mobile App,Hyderabad,"50k Ventures, Munish Jauhar, Pulkit Jain, Rohit Narang",Seed Funding,,2016,Jan_2016.csv
41.0,13/01/2016,Care24,Healthcare,Professional Health Services Platform,Mumbai,"SAIF Partners, India Quotient",Private Equity,"4,000,000",2016,Jan_2016.csv
42.0,13/01/2016,Obino,Healthcare,Weigh Loss Coaching,Mumbai,RoundGlass Partners,Private Equity,,2016,Jan_2016.csv
43.0,14/01/2016,Snapshopr,Consumer Internet,Visual Search & Image Recognition Platform,Bangalore,Amod Malviya,Seed Funding,,2016,Jan_2016.csv
44.0,14/01/2016,Buildkar,ECommerce,Construction Material Marketplace,Bangalore,"Mustafa Wajid, Umang Kumar & Others",Seed Funding,,2016,Jan_2016.csv
45.0,14/01/2016,Orahi,Consumer Internet,Carpooling Mobile App,Gurgaon,Indian Angel Network,Seed Funding,"520,000",2016,Jan_2016.csv
46.0,14/01/2016,Zapr,Technology,TV to Mobile audience Platform,Gurgaon,"Flipkart, Saavn, Micromax, Dhiraj Rajaram, Ambiga Dhiraj, Dinesh Agarwal, Samir Bangara, Sanjay Nath, Arihant Patni",Seed Funding,,2016,Jan_2016.csv
47.0,15/01/2016,Remidio,Healthcare,Healthcare Product Manufacturer,Bangalore,Cipher-Plexus Capital Advisors & Indian HNIs,Private Equity,,2016,Jan_2016.csv
48.0,15/01/2016,Fitso,Consumer Internet,Fitness related Social Networking App & Forum,Gurgaon,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed Funding,"200,000",2016,Jan_2016.csv
49.0,15/01/2016,evibe.in,Consumer Internet,Party Hall Booking platform,Bangalore,"Hyderabad Angels, Lalit Mangal,  Vikas Malpani, Gaurav Bhalotia, LV Prasad",Seed Funding,,2016,Jan_2016.csv
50.0,15/01/2016,Zoctr,Consumer Internet,healthcare aggregator platform,Mumbai,Times Group,Seed Funding,,2016,Jan_2016.csv
51.0,15/01/2016,Jobick,Consumer Internet,Mobile app based Job Search,Noida,Abhinav Mathur,SeedFunding,,2016,Jan_2016.csv
52.0,16/01/2016,Plick,Consumer Internet,Instant Content Transfer Mobile App,Mumbai,Sanjay Mehta,SeedFunding,,2016,Jan_2016.csv
53.0,18/01/2016,Voice Friends,Consumer Internet,Dating & Singles Chat Platform,Mumbai,Huzaifa Khorakiwala,SeedFunding,,2016,Jan_2016.csv
54.0,18/01/2016,Kartrocket,Consumer Internet,SAAS DIY  ECommerce Platform,New Delhi,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private Equity,"6,000,000",2016,Jan_2016.csv
55.0,19/01/2016,Swiggy,Consumer Internet,Online/Mobile food ordering platform,Bangalore,"Harmony Partners, RB Investments & existing investors",Private Equity,"35,000,000",2016,Jan_2016.csv
56.0,19/01/2016,TinyStep,Consumer Internet,Parenting Social Network,Bangalore,Flipkart,SeedFunding,,2016,Jan_2016.csv
57.0,19/01/2016,Cashkaro,Consumer Internet,Coupon & Cashback platform,Gurgaon,Ratan Tata,Private Equity,,2016,Jan_2016.csv
58.0,19/01/2016,Gameezop,Consumer Internet,Casual Gaming platform,New Delhi,Anand Chandrasekaran & Others,SeedFunding,,2016,Jan_2016.csv
59.0,19/01/2016,DailyObjects,ECommerce,Mobile Accessories etailer,New Delhi,"Unilazer Fund,  Phanindra Sama, Peyush Bansal",Private Equity,"1,400,000",2016,Jan_2016.csv
60.0,19/01/2016,Indus OS,Technology,Local language Mobile OS,Mumbai,"Omidyar Network,",Private Equity,"5,000,000",2016,Jan_2016.csv
61.0,19/01/2016,CollegeDunia,Consumer Internet,Educational College Search platform,New Delhi,Umang Kumar,SeedFunding,"445,000",2016,Jan_2016.csv
62.0,19/01/2016,Villgro,Finance,Social Business Incubator & Fund,Chennai,"Lemelson Foundation, Michael and Susan Dell Foundation",Private Equity,"3,500,000",2016,Jan_2016.csv
63.0,20/01/2016,Reddoorz,Consumer Internet,Budget Accomodation Aggregator,New Delhi,500 Startups,Private Equity,,2016,Jan_2016.csv
64.0,20/01/2016,IndustryBuying,ECommerce,B2B Industrial Goods Marketplace,New Delhi,Trifecta Capital,Private Equity,"1,800,000",2016,Jan_2016.csv
65.0,20/01/2016,Just Buy Live,ECommerce,B2B Marketplace for Distributors,Mumbai,Alpha Capital,Private Equity,"20,000,000",2016,Jan_2016.csv
66.0,20/01/2016,IMbesharam,ECommerce,Adult Products Etailers,New Delhi / US,Undisclosed US Based Investors,Private Equity,"4,000,000",2016,Jan_2016.csv
67.0,20/01/2016,Moodoo,Consumer Internet,Social Meeting organizer App,Mumbai / UK,Saïd Business School Seed Fund.,SeedFunding,"40,000",2016,Jan_2016.csv
68.0,20/01/2016,Saral Designs,Healthcare,Women Hygiene Product Manufacturer,Mumbai,"Farooq Adam, Ambi Parameswaran,",SeedFunding,,2016,Jan_2016.csv
69.0,21/01/2016,FirstCry,ECommerce,Kids Focused eTailer,Pune,Ratan Tata,Private Equity,,2016,Jan_2016.csv
70.0,21/01/2016,Fisdom,Consumer Internet,Personal Finance Mobile App,Bangalore,Rob Chandra,SeedFunding,"500,000",2016,Jan_2016.csv
71.0,21/01/2016,Easypolicy,Consumer Internet,Online insurance policy aggregator,Noida,Unilazer Ventures,Private Equity,"2,200,000",2016,Jan_2016.csv
72.0,21/01/2016,Housing.com,Consumer Internet,Online Real Estate Portal,Mumbai,SoftBank Corp,Private Equity,"15,000,000",2016,Jan_2016.csv
73.0,21/01/2016,CREO,Technology,Smartphone OS Developer,Bangalore,"Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran",Private Equity,"3,000,000",2016,Jan_2016.csv
74.0,22/01/2016,ShabdaNagari,Consumer Internet,Hindi Language Social Networking Portal,Kanpur,Kanpur Angels & Others,SeedFunding,"200,000",2016,Jan_2016.csv
75.0,22/01/2016,Little,Consumer Internet,Deal Discovery App,Bangalore,GIC,Private Equity,,2016,Jan_2016.csv
76.0,22/01/2016,SnapBizz,ECommerce,Mobile based Retail Market Ecosystem,Bangalore,"Jungle Ventures, Taurus Value Creation, Konly Venture, Blume Ventures",Private Equity,"7,200,000",2016,Jan_2016.csv
77.0,22/01/2016,Qlivery,Consumer Internet,on-demand concierge services,Gurgaon,Chandigarh Angels Funding,SeedFunding,,2016,Jan_2016.csv
78.0,22/01/2016,PlexusMD,Consumer Internet,Social Network for Healthcare Professionals,Ahmedabad,"Arihant Patni, Avnish Mehra, Pranay Adhvaryu, Ravi Sampat",SeedFunding,,2016,Jan_2016.csv
79.0,22/01/2016,Silvan,Technology,Home Automation & Security Solutions,Bangalore,The Chennai Angels,SeedFunding,"515,000",2016,Jan_2016.csv
80.0,22/01/2016,EPS,Technology,Electronic Payments Solution Company,Mumbai,APIS Partners,Private Equity,"35,000,000",2016,Jan_2016.csv
81.0,22/01/2016,Qubole,Technology,Enterprise Cloud Based Data Processing,Bangalore,"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV",Private Equity,"30,000,000",2016,Jan_2016.csv
82.0,22/01/2016,Gajty,Healthcare,Salons & Spa Chain,Gurgaon,Purvi Ventures,SeedFunding,,2016,Jan_2016.csv
83.0,25/01/2016,SIFTR Labs,Consumer Internet,Photography curation & Aggregator platform,Mumbai,Venture Catalysts,SeedFunding,"150,000",2016,Jan_2016.csv
84.0,25/01/2016,Power2SME,Consumer Internet,SME Online Buying Hub,Gurgaon,"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",Private Equity,"21,000,000",2016,Jan_2016.csv
85.0,25/01/2016,SkyCandle,ECommerce,Home Décor Product etailer,New Delhi,GPA group,Private Equity,,2016,Jan_2016.csv
86.0,27/01/2016,Teabox.com,ECommerce,Specialty Tea ETailer,Siliguri,Ratan Tata,Private Equity,,2016,Jan_2016.csv
87.0,27/01/2016,Buildzar,ECommerce,Construction Material ETailer,Gurgaon,Puneet Dalmia,Private Equity,"4,000,000",2016,Jan_2016.csv
88.0,27/01/2016,Applicate,Technology,"Sales, Market, Distribution & Data Analytics Platform",Bangalore,Undisclosed investors,SeedFunding,"1,000,000",2016,Jan_2016.csv
89.0,27/01/2016,WhatsOnRent,ECommerce,Online Rental Marketplace,Bangalore,Lalit Mangal & Others,SeedFunding,,2016,Jan_2016.csv
90.0,28/01/2016,Zebi(yet to launch),Technology,Data Intelligence & Analytics,Hyderabad,Un disclosed investors,SeedFunding,"1,000,000",2016,Jan_2016.csv
91.0,28/01/2016,Truce,FMCG,Vegetables & Fruits Supply Chain,Mumbai,"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",SeedFunding,"370,000",2016,Jan_2016.csv
92.0,28/01/2016,JustDoc,Consumer Interne,Medical Video Consultation platform,Bangalore,"TV Mohandas Pai, Mohit Saxena, Raghunandan G, Singapore Angel Network, TracxnLabs",SeedFunding,,2016,Jan_2016.csv
93.0,28/01/2016,Myeglu,Technology,Connected Smart Home Solutions,Bangalore,Foxconn Technology Group & Others,SeedFunding,,2016,Jan_2016.csv
94.0,29/01/2016,BitGiving,Consumer Internet,Crowd Funding Platform,New Delhi,"Harminder Sahni, Krishna Mehra, Sanjay Bakshi",SeedFunding,,2016,Jan_2016.csv
95.0,29/01/2016,Qriyo,Consumer Internet,Online Fitness & Educational information Aggregator,Jodhpur,Idein Ventures,SeedFunding,"160,000",2016,Jan_2016.csv
96.0,29/01/2016,N.O.W,Consumer Internet,Rental Bike Aggregator App,Noida,Maple Capital Advisors,SeedFunding,,2016,Jan_2016.csv
97.0,29/01/2016,Aisle,Consumer Internet,Indians focused Matchmaking App,Bangalore,"TermSheet, ah! Ventures",SeedFunding,"185,000",2016,Jan_2016.csv
98.0,29/01/2016,FreshMenu,Consumer Internet,Fresh Food Delivery platform,Bangalore,"Zodius Technology Fund, Lightspeed Venture Partners",Private Equity,"17,000,000",2016,Jan_2016.csv
99.0,29/01/2016,Truebil,ECommerce,Online marketplace for cars,Mumbai,"Kalaari Capital, Inventus Capital, Tekton Ventures, Kae Capital",Private Equity,"5,150,000",2016,Jan_2016.csv
100.0,29/01/2016,Rare Media,Technology,Mobile & Cloud based App developer,New Delhi,Info Edge (India) Ltd,Private Equity,"1,100,000",2016,Jan_2016.csv
101.0,29/01/2016,TinMen,Consumer Internet,Food Delivery Platform,Hyderabad,Lead Angel Network,SeedFunding,,2016,Jan_2016.csv
102.0,29/01/2016,CodingLabs,Technology,Coding Skill Showcase & Resume Builder,Hyderabad,Vineet Nalla,SeedFunding,,2016,Jan_2016.csv
103.0,30/01/2016,FindUrClass,Consumer Internet,Hobby & Activity Class Aggregator,Mumbai,"Amit Patni, Anirudh Damani, Samir Shah",SeedFunding,,2016,Jan_2016.csv
104.0,30/01/2016,DesignBids,Consumer Internet,Interior Design Marketplace,New Delhi,Indian Angel Network,SeedFunding,,2016,Jan_2016.csv
,,,,,,,,,2016,Jan_2016.csv
1.0,01/7/2016,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,,2016,Jul_2016.csv
2.0,01/7/2016,DarwinBox,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,,2016,Jul_2016.csv
3.0,01/07/2016,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,"500,000",2016,Jul_2016.csv
4.0,01/07/2016,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,,2016,Jul_2016.csv
5.0,02/07/2016,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,"700,000",2016,Jul_2016.csv
6.0,04/07/2016,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,,2016,Jul_2016.csv
7.0,04/07/2016,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,"15,000,000",2016,Jul_2016.csv
8.0,04/07/2016,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,"200,000",2016,Jul_2016.csv
9.0,04/07/2016,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,"2,000,000",2016,Jul_2016.csv
10.0,04/07/2016,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,,2016,Jul_2016.csv
11.0,04/07/2016,NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,"16,000,000",2016,Jul_2016.csv
12.0,05/07/2016,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund  & Others,Private Equity,"1,000,000",2016,Jul_2016.csv
13.0,05/07/2016,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,"82,000,000",2016,Jul_2016.csv
14.0,05/07/2016,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,  Abhishek Jain",Seed Funding,"1,700,000",2016,Jul_2016.csv
15.0,06/07/2016,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,"740,000",2016,Jul_2016.csv
16.0,06/07/2016,Don’t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,"250,000",2016,Jul_2016.csv
17.0,06/07/2016,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,"297,000",2016,Jul_2016.csv
18.0,07/07/2016,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,"2,000,000",2016,Jul_2016.csv
19.0,07/07/2016,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,"1,000,000",2016,Jul_2016.csv
20.0,07/07/2016,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity,,2016,Jul_2016.csv
21.0,07/07/2016,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,,2016,Jul_2016.csv
22.0,08/07/2016,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,,2016,Jul_2016.csv
23.0,08/07/2016,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"1,950,000",2016,Jul_2016.csv
24.0,11/07/2016,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,"6,000,000",2016,Jul_2016.csv
25.0,11/07/2016,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,"3,500,000",2016,Jul_2016.csv
26.0,11/07/2016,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,"3,000,000",2016,Jul_2016.csv
27.0,12/07/2016,SirionLabs,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,"12,250,000",2016,Jul_2016.csv
28.0,12/07/2016,GyanDhan,Consumer Internet,Education Focused Financing Platform,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,,2016,Jul_2016.csv
29.0,12/07/2016,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,"Mumbai Angels,  Times Internet",Private Equity,,2016,Jul_2016.csv
30.0,12/07/2016,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,,2016,Jul_2016.csv
31.0,12/07/2016,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,,2016,Jul_2016.csv
32.0,13/07/2016,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,"5,000,000",2016,Jul_2016.csv
33.0,13/07/2016,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,,2016,Jul_2016.csv
34.0,13/07/2016,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,"600,000",2016,Jul_2016.csv
35.0,13/07/2016,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"SAIF Partners, India Quotient",Private Equity,"1,350,000",2016,Jul_2016.csv
36.0,13/07/2016,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Private Equity,,2016,Jul_2016.csv
37.0,13/07/2016,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,"5,000,000",2016,Jul_2016.csv
